food_id,food_name,category,calories,protein,g_carbs,fat,fiber,suitable_for
1,Methi paratha,Breakfast,203,12.6,19.3,9.0,0.6,all
2,Chicken curry,Curry,217,22.3,23.2,12.1,2.1,all
3,Aloo paratha,Breakfast,115,17.1,7.0,4.0,9.0,all
4,Pakora,Snacks,167,18.2,20.7,7.9,9.7,vegetarian
5,Pulao,Cereals,359,3.1,19.2,1.6,6.4,all
6,Paneer curry,Curry,210,23.5,0.4,16.7,4.9,non_vegetarian
7,Curd,Dairy,461,26.0,54.0,11.8,6.1,vegetarian
8,Chicken curry,Curry,119,16.8,20.0,5.7,1.9,all
9,Methi paratha,Breakfast,454,10.0,5.6,7.6,5.7,vegetarian
10,Roti,Cereals,338,28.7,7.9,16.1,2.3,all
11,Idli,Breakfast,138,12.0,25.3,14.5,4.5,non_vegetarian
12,Kheer,Dessert,62,26.9,55.1,15.3,7.3,non_vegetarian
13,Curd,Dairy,106,4.8,47.5,18.5,9.3,vegetarian
14,Pakora,Snacks,372,1.0,20.7,19.8,7.0,vegetarian
15,Paneer curry,Curry,296,14.5,52.3,13.7,5.7,all
16,Roti,Cereals,258,23.0,50.5,11.3,8.5,vegetarian
17,Idli,Breakfast,442,18.5,47.2,3.8,8.2,vegetarian
18,Pav Bhaji,Snacks,345,15.2,47.6,4.3,4.3,vegetarian
19,Chapati,Cereals,53,12.9,9.1,12.7,5.4,all
20,Fruit salad,Fruit,348,6.6,54.2,8.5,7.5,all
21,Poha,Breakfast,304,16.7,57.5,11.9,1.3,vegetarian
22,Halwa,Dessert,459,23.3,32.7,15.9,7.3,non_vegetarian
23,Idli,Breakfast,438,26.4,2.8,9.9,7.6,non_vegetarian
24,Lassi,Dairy,213,0.7,2.0,19.0,1.9,all
25,Oats porridge,Breakfast,444,15.7,23.6,9.6,8.1,all
26,Samosa,Snacks,490,27.8,18.4,11.2,2.8,vegetarian
27,Rajma,Curry,320,8.9,7.4,16.8,5.0,all
28,Samosa,Snacks,375,1.0,59.9,3.5,3.5,vegetarian
29,Pav Bhaji,Snacks,73,6.8,37.7,2.6,5.4,all
30,Chole,Curry,283,23.5,58.4,9.4,5.6,vegetarian
31,Dosa,Breakfast,497,17.4,48.8,17.2,4.9,non_vegetarian
32,Chole,Curry,318,1.0,51.8,17.8,6.9,non_vegetarian
33,Chicken curry,Curry,54,1.2,48.1,19.2,9.3,vegetarian
34,Rajma,Curry,278,29.4,1.7,0.4,6.1,vegetarian
35,Dal,Curry,241,14.2,30.4,18.9,5.0,vegetarian
36,Pakora,Snacks,288,4.3,57.8,13.0,6.3,vegetarian
37,Dosa,Breakfast,480,12.4,36.7,15.6,2.9,non_vegetarian
38,Paneer curry,Curry,264,15.5,34.6,9.0,8.5,all
39,Dosa,Breakfast,444,15.2,15.6,2.8,8.7,vegetarian
40,Rajma,Curry,276,23.7,31.6,6.3,9.9,all
41,Idli,Breakfast,344,6.0,34.7,19.0,3.3,all
42,Kheer,Dessert,282,9.8,15.3,12.0,6.2,vegetarian
43,Paneer curry,Curry,277,27.2,44.9,0.6,2.4,non_vegetarian
44,Pav Bhaji,Snacks,401,18.0,54.4,6.1,3.8,vegetarian
45,Pulao,Cereals,500,17.6,59.8,13.1,5.7,all
46,Oats porridge,Breakfast,375,4.2,10.6,4.5,0.5,non_vegetarian
47,Poha,Breakfast,471,3.6,45.9,14.6,8.3,non_vegetarian
48,Roti,Cereals,473,27.2,18.9,16.6,0.3,vegetarian
49,Pakora,Snacks,427,29.7,0.0,17.8,1.4,all
50,Rajma,Curry,433,14.3,15.5,2.3,3.0,non_vegetarian
51,Halwa,Dessert,141,24.5,59.0,16.1,5.7,non_vegetarian
52,Curd,Dairy,455,2.3,31.5,6.4,5.3,all
53,Biryani,Cereals,109,7.8,0.1,16.5,3.8,vegetarian
54,Chole,Curry,386,4.6,9.0,18.1,6.3,all
55,Dosa,Breakfast,393,28.3,35.0,1.1,2.9,non_vegetarian
56,Chole,Curry,464,16.2,57.6,13.1,9.6,all
57,Aloo paratha,Breakfast,266,4.1,20.3,7.8,9.9,non_vegetarian
58,Sambar,Curry,261,3.4,46.7,2.0,2.4,vegetarian
59,Kheer,Dessert,374,22.6,34.4,2.1,6.7,non_vegetarian
60,Curd,Dairy,275,24.3,57.7,3.1,2.8,non_vegetarian
61,Pakora,Snacks,187,25.9,0.4,17.0,3.5,all
62,Vegetable salad,Salad,122,27.8,3.6,13.8,8.2,all
63,Upma,Snacks,318,18.1,34.5,8.8,9.1,all
64,Chole,Curry,57,23.6,32.7,12.6,0.0,non_vegetarian
65,Dosa,Breakfast,88,20.9,41.7,7.9,7.8,all
66,Oats porridge,Breakfast,260,18.6,52.8,2.8,0.4,vegetarian
67,Vegetable salad,Salad,475,6.5,12.4,15.5,4.6,vegetarian
68,Biryani,Cereals,73,16.0,23.1,3.6,4.8,vegetarian
69,Rajma,Curry,315,26.3,33.1,3.1,0.2,all
70,Sambar,Curry,431,27.2,60.0,4.7,7.1,all
71,Buttermilk,Dairy,259,3.8,4.4,1.6,1.9,vegetarian
72,Fruit salad,Fruit,237,2.7,43.9,3.1,8.8,vegetarian
73,Vegetable salad,Salad,189,2.8,6.0,8.0,2.7,vegetarian
74,Biryani,Cereals,256,21.7,48.8,8.5,4.6,vegetarian
75,Chole,Curry,382,5.2,57.4,16.5,6.4,all
76,Sambar,Curry,360,5.3,54.1,8.6,6.7,vegetarian
77,Kheer,Dessert,155,21.9,3.6,11.7,2.7,vegetarian
78,Chapati,Cereals,374,15.9,51.7,16.5,6.1,vegetarian
79,Methi paratha,Breakfast,206,3.9,23.4,14.3,4.7,all
